用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
12,woniuboss2.5_yang(#14),,,WB2.5_财务管理_检验修改一级科目功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在流水记录A：一级科目为商务费用","1. 点击财务流水记录中的修改按钮
2. 修改一级科目：主营业务收入
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 下拉框中完整显示主营业务收入
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
13,woniuboss2.5_yang(#15),,,WB2.5_财务管理_检验修改二级科目功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：二级科目为教室租赁","1. 点击财务流水记录中的修改按钮
2. 修改二级科目：利息
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 下拉框中完整显示利息
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
14,,,,WB2.5_财务管理_检验修改类型选项功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：类型为私账","1. 点击财务流水记录中的修改按钮
2. 修改类型：公账
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 下拉框中完整显示公账
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
15,,,,WB2.5_财务管理_检验修改结算方式功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：结算方式为支付宝","1. 点击财务流水记录中的修改按钮
2. 修改结算方式：现金
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 下拉框中完整显示现金
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
16,,,,WB2.5_财务管理_检验修改交易时间功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：交易时间为2020-05-02","1. 点击财务流水记录中的修改按钮
2. 修改交易时间：2020-05-09
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 交易时间：2020-05-09
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
17,,,,WB2.5_财务管理_检验修改负责人功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：负责人为刘敏（建行）","1. 点击财务流水记录中的修改按钮
2. 修改负责人：基本户（成都）
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 下拉框中完整显示基本户（成都）
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
18,,,,WB2.5_财务管理_检验修改收支类型功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：收支类型为收入","1. 点击财务流水记录中的修改按钮
2. 修改收支类型：支出
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 下拉框中完整显示支出
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
19,,,,WB2.5_财务管理_检验修改金额功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：金额为100","1. 点击财务流水记录中的修改按钮
2. 修改金额：100.09
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 金额：100.09
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
20,,,,WB2.5_财务管理_检验修改对方账号时的修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：对方账号为693778625","1. 点击财务流水记录中的修改按钮
2. 修改对方账号：15072465672
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 对方账号：15072465672
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
21,,,,WB2.5_财务管理_检验修改对方账号为姓名文时修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：对方账号为693778625","1. 点击财务流水记录中的修改按钮
2. 修改对方账号：李晓芸
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 输入框中完整显示李晓芸
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面，该条对方账号显示为“693778625”",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
22,,,,WB2.5_财务管理_检验修改对方账号为银行卡号时修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：对方账号为693778625","1. 点击财务流水记录中的修改按钮
2. 修改对方账号：6217995200104872236
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 对方账号：6217995200104872236
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面，该条对方账号显示为“693778625”",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
23,,,,WB2.5_财务管理_检验修改对方账号为邮箱时修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：对方账号为693778625","1. 点击财务流水记录中的修改按钮
2. 修改对方账号：111111111@qq.com
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 对方账号：111111111@qq.com
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面,该条对方账号显示为“111111111@qq.com”",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
24,,,,WB2.5_财务管理_检验修改资金用途为全英文时的修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：资金用途为缴纳学费","1. 点击财务流水记录中的修改按钮
2. 修改资金用途：“asdasa”
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 输入框中完整显示“asdasa”
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
25,,,,WB2.5_财务管理_检验修改资金用途为全特殊符号时修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：资金用途为缴纳学费","1. 点击财务流水记录中的修改按钮
2. 修改资金用途：“@#￥%”
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 输入框中完整显示“@#￥%”
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
26,,,,WB2.5_财务管理_检验修改资金用途为全数字时的修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：资金用途为缴纳学费","1. 点击财务流水记录中的修改按钮
2. 修改资金用途：“123234”
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 输入框中完整显示“123234”
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
27,,,,WB2.5_财务管理_检验同时修改所有选项时的修改功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.存在财务流水A：一级科目为主营业务收入，二级科目为就业培训，类型为公账，结算方式为微信，交易时间为2020-05-12，负责人为基本户（成都），收支类型为收入，金额为1000，交易账号为693778625，对方账号为693778625，资金用途为缴纳学费","1. 点击财务流水记录中的修改按钮
2. 修改所有内容为
一级科目：来往款项
二级科目：过账费
类型：私账
结算方式：支付宝
交易时间：2020-05-10
负责人：刘敏（建行）
收支类型：支出
金额：10
交易账号：693778625
对方账号：693778111
资金用途：租房
3. 点击保存
4. 点击弹框中的确定按钮","1. 界面出现当前财务流水信息弹框
2. 输入框中完整显示
一级科目：来往款项
二级科目：过账费
类型：私账
结算方式：支付宝
交易时间：2020-05-10
负责人：刘敏（建行）
收支类型：支出
金额：10
交易账号：693778625
对方账号：693778111
资金用途：租房
3. 界面出现“修改成功”的提示弹框
4. 界面跳转至财务流水记录列表显示界面",,,3,功能测试,功能测试阶段,正常,,,,,,,,,,
28,,,,WB2.5_财务管理_检验上月查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.财务流水记录中存在数据",1. 点击上月查询按钮,1. 界面出现上月财务流水信息列表,,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
29,,,,WB2.5_财务管理_检验本月查询功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块
3.财务流水记录中存在数据",1. 点击本月查询按钮,1. 界面出现本月财务流水信息列表,,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
30,,,,WB2.5_财务管理_检验新增流水功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：1000
对方账号：693778111
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：1000
对方账号：693778111
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,1,功能测试,功能测试阶段,正常,,,,,,,,,,
31,,,,WB2.5_财务管理_检验输入交易时间大于当前时间时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-10-10
金额：1000
对方账号：693778111
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-10-10
金额：1000
对方账号：693778111
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中无该条新增流水记录",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
32,,,,WB2.5_财务管理_检验输入交易时间等于当前时间时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-05-14
金额：1000
对方账号：693778111
资金用途：缴纳学费！！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-05-14
金额：1000
对方账号：693778111
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
33,,,,WB2.5_财务管理_检验输入交易时间为全汉字时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：你好
金额：1000
对方账号：693778111
资金用途：缴纳学费！！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-05-14
金额：1000
对方账号：693778111
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，交易时间显示当前时间，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
34,,,,WB2.5_财务管理_检验输入金额为超过两位小数时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-05-11
金额：100.999
对方账号：693778111
资金用途：缴纳学费！！
3. 点击保存按钮","1. 界面出现新增输入流水信息的弹窗
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-05-11
金额：100.99（第三位小时显示不出来)
对方账号：693778111
资金用途：缴纳学费！！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
35,,,,WB2.5_财务管理_检验输入金额为0时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：0
对方账号：693778111
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：0
对方账号：693778111
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
36,,,,WB2.5_财务管理_检验输入金额为负数时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：-10
对方账号：693778111
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：10(“-”显示不出来）
对方账号：693778111
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息，金额显示为10",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
37,,,,WB2.5_财务管理_检验输入金额为空时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：
对方账号：693778111
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：
对方账号：693778111
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息，金额显示为空",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
38,,,,WB2.5_财务管理_检验输入对方账号为支付宝账号时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：15072455672
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：15072455672
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
39,,,,WB2.5_财务管理_检验输入对方账号为银行卡号时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：6217995200104872236
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：6217995200104872236
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
40,,,,WB2.5_财务管理_检验输入对方账号为姓名时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：王五
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：王五
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
41,,,,WB2.5_财务管理_检验输入对方账号为邮箱时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：1120904626@qq.com
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：1120904626@qq.com
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
42,,,,WB2.5_财务管理_检验输入对方账号为全是特殊符号时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：!@#@!@!
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：!@#@!@!
资金用途：缴纳学费！
3. 页面出现新增失败弹窗",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
43,,,,WB2.5_财务管理_检验输入对方账号为空时的新增功能,"1.使用财务人员账号登录成功WNCD012/woniu123
2.进入财务管理—财务流水模块","1. 点击新增流水按钮
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：
资金用途：缴纳学费！
3. 点击保存按钮","1. 界面出现新增流水信息的弹框
2. 一级科目：主营业务收入
二级科目：就业培训
类型：公账
结算方式：支付宝
负责人：基本户（成都）
收支类型：收入
交易账号：693778625
交易时间：2020-04-09
金额：100.09
对方账号：
资金用途：缴纳学费！
3. 页面跳转至新增财务流水记录列表界面，列表中存在该条流水信息",,,2,功能测试,功能测试阶段,正常,,,,,,,,,,
