用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
41,,,,WB2.5_培训资源_查询资源_组合错误的QQ,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 刘二 成都 前程无忧 新入库 18978987651 /QQ为28272728272","1.资源选择全部,咨询师选择全部,状态选择全部,来源选择全部,分配时间选择2012-01-09至2020-05-12,QQ号为282727282729
2.点击查询","1.输入选择正确
2.搜索不出刘二的信息",,,,,,,,,,,,,,,,
42,,,,WB2.5_培训资源_查询资源_临时池查询,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 曾琳屹 成都 专属 新入库 18482109763 四川成都市","1.资源选择临时池,咨询师选择全部,状态选择全部,来源选择全部
2.点击查询","1.输入选择正确
2.可以查询出曾琳屹的数据",,,,,,,,,,,,,,,,
43,,,,WB2.5_培训资源_查询资源_个人池查询,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 杨光亮 成都 高校渠道 新入库 18976756789","1.资源选择个人池,咨询师选择全部,状态选择全部,来源选择全部
2.点击查询","1.输入选择正确
2.可以查询出杨光亮的数据",,,,,,,,,,,,,,,,
44,,,,WB2.5_培训资源_查询资源_公共池查询,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 蒲明星 成都 专属 新入库","1.资源选择公共池,咨询师选择全部,状态选择全部,来源选择全部
2.点击查询","1.输入选择正确
2.可以查询出蒲明星的数据",,,,,,,,,,,,,,,,
45,,,,WB2.5_培训资源_查询资源_临时池_状态新入库,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
4.存在数据 黄臣 成都 专属 新入库 17608013558","1.资源选择临时池,状态选择新入库
2.点击查询","1.输入选择正确
3.可以查询出黄臣 的数据",,,,,,,,,,,,,,,,
46,,,,WB2.5_培训资源_查询资源_临时池_状态新认领,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 寇容 成都 专属 新认领 18408256949","1.资源选择临时池,状态选择新认领
3.点击查询","1.输入选择正确
2.可以查询出寇容的数据",,,,,,,,,,,,,,,,
47,,,,WB2.5_培训资源_查询资源_个人池_状态已预约,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 杜小东 成都 专属 已预约 13679093350","1.资源选择临时池,状态选择已预约
2.点击查询","1.输入选择正确
2.可以查询出杜小东的数据",,,,,,,,,,,,,,,,
48,,,,WB2.5_培训资源_查询资源_个人池_状态已上门,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 廖凯 成都 专属 已上门 13778228826","1.资源选择临时池,状态选择已上门
2.点击查询","1.输入选择正确
2.可以查询出廖凯的数据",,,,,,,,,,,,,,,,
49,,,,WB2.5_培训资源_查询资源_临时池_状态在投递,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 陆朋 成都 专属 再投递 15982087170 四川成都","1.资源选择临时池,状态选择在投递
2.点击查询","1.输入选择正确
2.可以查询出陆朋的数据",,,,,,,,,,,,,,,,
50,,,,WB2.5_培训资源_查询资源_全部_状态已报名,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 马阳 成都 专属 已报名 18681873872 陕西西安市","1.资源选择全部,状态选择已报名
2.点击查询","1.输入选择正确
2.可以查询出马阳的数据",,,,,,,,,,,,,,,,
51,,,,WB2.5_培训资源_查询资源_个人池_状态可跟进,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 庹万峰 成都 专属 可跟进 18780034632","1.资源选择个人池,状态选择可跟进
2.点击查询","1.输入选择正确
2.可以查询出庹万峰的数据",,,,,,,,,,,,,,,,
52,,,,WB2.5_培训资源_查询资源_公共池_状态无意向,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 吴建波 成都 专属 无意向 25","1.资源选择公共池,状态选择无意向
2.点击查询","1.输入选择正确
2.可以查询出吴建波的数据",,,,,,,,,,,,,,,,
54,,,,WB2.5_培训资源_查询资源_临时池_状态未联系上,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 亢立欣 成都 前程无忧 未联系上 17611341218","1.资源选择临时池,状态选择未联系上
2.点击查询","1.输入选择正确
2.可以查询出亢立欣的数据",,,,,,,,,,,,,,,,
55,,,,WB2.5_培训资源_查询资源_公共池_状态培训过,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 尧凤进 成都 专属 培训过 19","1.资源选择公共池,状态选择培训过
2.点击查询","1.输入选择正确
2.可以查询出尧凤进的数据",,,,,,,,,,,,,,,,
56,,,,WB2.5_培训资源_查询资源_公共池_状态条件不符,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在数据 吴钰彬 成都 专属 条件不符","1.资源选择公共池,状态选择条件不符
2.点击查询","1.输入选择正确
2.可以查询出吴钰彬的数据",,,,,,,,,,,,,,,,
57,,,,WB2.5_培训资源_查询资源_弹出跟踪窗口,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在导入的资源",1.点击跟踪,1.弹出跟踪窗口,,,,,,,,,,,,,,,,
58,,,,WB2.5_培训资源_查询资源_可以取消跟踪窗口,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在导入的资源","1.点击跟踪
2.取消跟踪","1.弹出跟踪窗口
2.可以取消跟踪窗口",,,,,,,,,,,,,,,,
59,,,,WB2.5_培训资源_查询资源_跟踪窗口信息显示正确,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在导入的资源","1.点击跟踪
2.查看此资源的信息","1.弹出跟踪窗口
2.信息显示正确",,,,,,,,,,,,,,,,
60,,,,WB2.5_培训资源_查询资源_跟踪窗口UI显示正常,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在导入的资源","1.点击跟踪
2.检查跟踪窗口的UI显示","1.弹出跟踪窗口
2.跟踪窗口的UI显示与原型图保持一致",,,,,,,,,,,,,,,,
61,,,,WB2.5_培训资源_查询资源_跟踪窗口的资源跟踪界面,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在导入的资源","1.点击跟踪
2.点击资源跟踪界面
3.检查资源跟踪界面的UI展示","1.弹出跟踪窗口
2.可以进入资源跟踪界面
3.资源跟踪界面的UI显示与 原型图保持一致",,,,,,,,,,,,,,,,
62,,,,WB2.5_培训资源_查询资源_检查跟踪界面的输入框可下拉框,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.存在导入的资源","1.点击跟踪
2.点击资源跟踪界面
3.检查资源跟踪的下拉框与输入框","1.弹出跟踪窗口
2.可以进入资源跟踪界面
3.资源跟踪界面的输入框和下拉框正常",,,,,,,,,,,,,,,,
63,,,,WB2.5_培训资源_查询资源_跟踪界面的状态的转换,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池 存在数据 罗艺文 成都 专属 新入库","1.点击罗艺文的跟踪
2.点击资源跟踪界面
3.选择新认领
4.检查状态改变","1.弹出跟踪窗口
2.可以进入资源跟踪界面
3.选择新认领成功
4.修改状态成功",,,,,,,,,,,,,,,,
64,,,,WB2.5_培训资源_资源修改_资源修改弹出检查,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库",1.点击修改,1.资源修改窗口弹出,,,,,,,,,,,,,,,,
65,,,,WB2.5_培训资源_资源修改_资源修改弹出窗口取消,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.点击取消","1.资源修改窗口弹出
2.取消成功",,,,,,,,,,,,,,,,
66,,,,"WB2.5_培训资源_资源修改_资源修改弹出窗口取消,检查数据","1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.修改状态为可跟进
3.点击取消
4.修改后数据检查","1.资源修改窗口弹出
2.状态修改成功
3.取消成功
4.数据未进行更改",,,,,,,,,,,,,,,,
68,,,,WB2.5_培训资源_资源修改_检查所有的输入框和下拉框,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.检查所有的输入框","1.弹出修改窗口
2.所有的输入框可以输入,下拉框可以选择",,,,,,,,,,,,,,,,
69,,,,WB2.5_培训资源_资源修改_修改所有的输入项,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.电话号码改为187236565878
3.姓名改成为曾琳
4.状态新认领
5.渠道为QQ群
6.性别男、邮箱为8767886@163.com、QQ为8726718167、学校为兰州大学、专业为计算机、求职意向为百度公司、工作经验选择1年、期望薪水10000、应聘职位测试工程师、年龄28、教育经历2014-2017 兰州大学学习、工作经历2017-9至2018-9在京东送快递、最后跟踪2020-05-01
7.点击保存
8.检查数据是否增加成功","1.可以弹出修改界面
2.电话号码修改成功
3.姓名修改成功
4.状态修改修改
5.渠道修改成功
6.信息输入成功
7.保存成功
8.数据已修改",,,,,,,,,,,,,,,,
70,,,,WB2.5_培训资源_资源修改_不点击修改直接保存,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.点击保存","1.可以弹出修改界面
2.保存失败",,,,,,,,,,,,,,,,
71,,,,WB2.5_培训资源_资源修改_选择修改状态,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.将状态改成已预约
3.点击保存","1.可以弹出修改界面
2.状态修改成功
3.资源保存成功",,,,,,,,,,,,,,,,
72,,,,WB2.5_培训资源_资源修改_选择修改随机的几项,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.QQ修改为26272627288
3.邮箱修改为28273733636@QQ.com
4.点击保存","1.弹出修改界面
2.QQ输入成功
3.邮箱输入成功
4.保存成功",,,,,,,,,,,,,,,,
74,,,,WB2.5_培训资源_资源修改_资源修改不保存_查看数据情况,"1.存在咨询主管账号wncd011/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 曾琳屹 成都 专属 新入库","1.点击修改
2.QQ修改为26272627288
3.邮箱修改为28273733636@QQ.com
4.点击取消
5.检查数据","1.弹出修改界面
2.QQ输入成功
3.邮箱输入成功
4.取消成功
5.数据未更新",,,,,,,,,,,,,,,,
75,,,,WB2.5_培训资源_转交责任人_查询_空条件查询,"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据 马阳 成都 专属 已报名 18681873872",1.点击搜索,1.可以显示马阳的数据及其他符合条件的数据,,,,,,,,,,,,,,,,
76,,,,WB2.5_培训资源_转交责任人_查询_电话号码查询(正确),"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据A 彦 重庆 老学员介绍 新入库 13445566778","1.搜索框输入13445566778
2.点击搜索","1.搜索框数据输入成功
2.可以显示数据A",,,,,,,,,,,,,,,,
77,,,,WB2.5_培训资源_转交责任人_查询_QQ查询(正确),"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据B 轮流 成都 网络 可跟进 19867890001   228282727267","1.搜索框输入228282727267(QQ)
2.点击搜索","1.搜索框输入成功
2.可以显示数据B",,,,,,,,,,,,,,,,
78,,,,WB2.5_培训资源_转交责任人_查询_姓名查询(错误),"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据B 轮流 成都 网络 可跟进 19867890001   228282727267","1.搜索框输入不轮流
2.点击搜索","1.搜索框输入成功
2.不能显示数据B",,,,,,,,,,,,,,,,
79,,,,WB2.5_培训资源_转交责任人_查询_QQ查询(错误),"1.存在管理员账号wncd000/woniu123/woniu123
2.已进入培训资源模块
3.临时池存在数据B 轮流 成都 网络 可跟进 19867890001   228282727267","1.搜索框输入248282727267
2.点击搜索","1.搜索框输入成功
2.不能显示数据B",,,,,,,,,,,,,,,,
