用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
16,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_输入正确的验证码,"1.进入登录界面
2.存在用户1234/123456","1.输入用户名为1234
2.输入密码为123456
3.输入当前页面正确的验证码
4.点击登录","1.可以输入用户名为1234
2.可以输入密码为123456
3.可以输入验证码
4.登录成功",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
17,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_输入空验证码,"1.进入登录界面
2.存在用户1234/123456","1.输入用户名为1234
2.输入密码为123456
3.不输入验证码
4.点击登录","1.可以输入用户名为1234
2.可以输入密码为123456
3.验证码不输入成功
4.登录失败",,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
18,woniuboss2.5_yang(#4),/登录(#53),,WB2.5_登录_检查验证码是否在规定的时间内刷新,1.进入登录界面,1.等待验证码在30s内刷新,1.验证码刷新成功,,,3,功能测试,,,0,0,3,,杨光亮,2020/5/11,,,1,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
