用例编号,所属项目,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
,,,,检验使用区域查询功能,"登录成功，进入行政综合-固定资产领用登记模块，
存在固定资产A：区域为成都的领用资产信息
存在固定资产B：区域为重庆的领用资产信息","1. 点击区域下拉框，选择成都选项
2. 点击查询按钮","1. 下拉框中完整显示成都
2. 列表中完整显示区域为成都的领用资产信息",,,,,,,,,,,,,,,,
,,,,检验使用部门查询功能,"登录成功，进入行政综合-固定资产领用登记模块，
存在固定资产A：部门为市场部的领用资产信息
存在固定资产B：部门为教学部的领用资产信息","1. 点击部门下拉框，选择市场部选项
2. 点击查询按钮","1. 下拉框中完整显示市场部
2. 列表中完整显示部门为市场部的领用固定资产信息",,,,,,,,,,,,,,,,
,,,,检验使用类型查询功能,"登录成功，进入行政综合-固定资产领用登记模块，
存在固定资产A：类型为员工的领用资产信息
存在固定资产B：类型为学生的领用资产信息","1. 点击类型下拉框，选择员工
2. 点击查询按钮","1. 下拉框中完整显示员工
2. 列表中完整显示类型为员工的领用固定资产信息",,,,,,,,,,,,,,,,
,,,,检验输入已存在的固定资产名称查询功能,"登录成功，进入行政综合-固定资产领用登记模块，
存在领用固定资产A：领用资产名称为电脑
不存在领用固定资产B：领用资产名称为电视","1. 点击固定资产名称输入框，输入电脑
2. 点击查询","1. 输入框中完整显示电脑
2. 列表中完整显示资产名称为电脑的领用固定资产信息",,,,,,,,,,,,,,,,
,,,,检验输入不存在的固定资产名称,"登录成功，进入行政综合-固定资产领用登记模块，
存在领用固定资产A：领用资产名称为电脑
不存在领用固定资产B：领用资产名称为电视","1. 点击固定资产名称输入框，输入电视
2. 点击查询","1. 输入框中完整显示电视
2. 列表中无任何显示",,,,,,,,,,,,,,,,
,,,,检验使用区域、部门、类型组合查询功能,"登录成功，进入行政综合-固定资产领用登记模块，
存在固定资产A：区域为重庆，部门为教学部，类型为学生
存在固定资产B：区域为西安，部门为教学部，类型为员工","1. 选择区域=重庆，部门=教学部，类型=学生
2. 点击查询","1. 下拉框中完整显示区域=重庆，部门=教学部，类型为学生
2. 列表中显示信息符合要求",,,,,,,,,,,,,,,,
,,,,检验使用区域、部门、类型、资产名称组合查询功能,"登录成功，进入行政综合-固定资产领用登记模块，
存在领用固定资产A：区域为重庆，部门为教学部，类型为学生，资产名称为电脑
存在领用固定资产B：区域为西安，部门为教学部，类型为员工资产名称为电脑","1. 选择区域=重庆，部门=教学部，类型=学生，资产名称=电脑
2. 点击查询","1. 下拉框中完整显示区域=重庆，部门=教学部，类型=学生，资产名称=电脑
2. 列表中显示信息符合要求",,,,,,,,,,,,,,,,
,,,,检验输入已存在的条形码查询,"登录成功，进入行政综合-固定资产领用登记模块
存在领用资产信息A：条形码为11111111
存在领用资产信息B：条形码为22222222","1. 点击扫码查询输入框，输入11111111
2. 点击查询","1. 输入框完整显示11111111
2. 列表中显示条形码为11111111的领用固定资产信息",,,,,,,,,,,,,,,,
,,,,检验输入不存在的条形码查询,"登录成功，进入行政综合-固定资产领用登记模块
存在领用资产信息A：条形码为11111111
不存在领用资产信息B：条形码为78787878","1. 点击扫码查询输入框，输入78787878
2. 点击查询","1. 输入框完整显示78787878
2. 列表中无任何显示",,,,,,,,,,,,,,,,
,,,,检验使用区域查询功能,"登录成功，进入行政综合-固定资产归还模块，
存在固定资产A：区域为成都的归还资产信息
存在固定资产B：区域为重庆的归还资产信息","1. 点击区域下拉框，选择成都选项
2. 点击查询按钮","1. 下拉框中完整显示成都
2. 列表中完整显示区域为成都的归还资产信息",,,,,,,,,,,,,,,,
,,,,检验使用部门查询功能,"登录成功，进入行政综合-固定资产归还模块，
存在固定资产A：部门为市场部的归还资产信息
存在固定资产B：部门为教学部的归还资产信息","1. 点击部门下拉框，选择市场部选项
2. 点击查询按钮","1. 下拉框中完整显示市场部
2. 列表中完整显示部门为市场部的归还固定资产信息",,,,,,,,,,,,,,,,
,,,,检验使用类型查询功能,"登录成功，进入行政综合-固定资产归还模块，
存在固定资产A：类型为员工的归还资产信息
存在固定资产B：类型为学生的归还资产信息","1. 点击类型下拉框，选择员工
2. 点击查询按钮","1. 下拉框中完整显示员工
2. 列表中完整显示类型为员工的归还固定资产信息",,,,,,,,,,,,,,,,
,,,,检验输入已存在的固定资产名称查询功能,"登录成功，进入行政综合-固定资产归还模块，
存在归还固定资产A：归还资产名称为电脑
不存在归还固定资产B：归还资产名称为电视","1. 点击固定资产名称输入框，输入电脑
2. 点击查询","1. 输入框中完整显示电脑
2. 列表中完整显示资产名称为电脑的归还固定资产信息",,,,,,,,,,,,,,,,
,,,,检验输入不存在的固定资产名称,"登录成功，进入行政综合-固定资产归还模块，
存在归还固定资产A：归还资产名称为电脑
不存在归还固定资产B：归还资产名称为电视","1. 点击固定资产名称输入框，输入电视
2. 点击查询","1. 输入框中完整显示电视
2. 列表中无任何显示",,,,,,,,,,,,,,,,
,,,,检验使用区域、部门、类型组合查询功能,"登录成功，进入行政综合-固定资产归还模块，
存在固定资产A：区域为重庆，部门为教学部，类型为学生
存在固定资产B：区域为西安，部门为教学部，类型为员工","1. 选择区域=重庆，部门=教学部，类型=学生
2. 点击查询","1. 下拉框中完整显示区域=重庆，部门=教学部，类型为学生
2. 列表中显示信息符合要求",,,,,,,,,,,,,,,,
,,,,检验使用区域、部门、类型、资产名称组合查询功能,"登录成功，进入行政综合-固定资产归还模块，
存在归还固定资产A：区域为重庆，部门为教学部，类型为学生，归还资产名称为电脑
存在归还固定资产B：区域为西安，部门为教学部，类型为员工，归还资产名称为电脑","1. 选择区域=重庆，部门=教学部，类型=学生，资产名称=电脑
2. 点击查询","1. 下拉框中完整显示区域=重庆，部门=教学部，类型=学生，资产名称=电脑
2. 列表中显示信息符合要求",,,,,,,,,,,,,,,,
,,,,检验输入已存在的条形码查询,"登录成功，进入行政综合-固定资产归还模块
存在归还资产信息A：条形码为11111111
存在归还资产信息B：条形码为22222222","1. 点击扫码查询输入框，输入11111111
2. 点击查询","1. 输入框完整显示11111111
2. 列表中显示条形码为11111111的领用固定资产信息",,,,,,,,,,,,,,,,
,,,,检验输入不存在的条形码查询,"登录成功，进入行政综合-固定资产归还模块
存在归还资产信息A：条形码为11111111
不存在归还资产信息B：条形码为78787878","1. 点击扫码查询输入框，输入78787878
2. 点击查询","1. 输入框完整显示78787878
2. 列表中无任何显示",,,,,,,,,,,,,,,,
